description,mad_name,z_start(m),length(in),beamline,shape,round_diameter(in),elliptical_diameter_x(in),elliptical_diameter_y(in)
4 Way Cross,,3489.788,4.92,LTUH,round,1.370,,
Bellows,,3489.913,6,LTUH,round,1.500,,
Drift Tube(2 in a row),,3490.065,120.0,LTUH,round,1.370,,
4 Way Cross,,3493.113,4.92,LTUH,round,1.370,,
Bellows,,3493.238,5.20,LTUH,round,1.500,,
Drift Tube,,3493.370,6.5,LTUH,round,1.370,,
Drift Tube,,3493.535,60.0,LTUH,round,1.370,,
Bellows,,3495.059,5.20,LTUH,round,1.500,,
Fast Wire Scanner Assy,WS33*,3495.191,8.78,LTUH,round,1.3748,,
Bellows,,3495.414,6,LTUH,round,1.500,,
Drift Tube(4 in a row),,3495.566,240.0,LTUH,round,1.370,,
Pneumatic Valve,,3501.662,2.83,LTUH,round,1.570,,
Bellows,,3501.622,6,LTUH,round,1.500,,
Drift Tube,,3501.774,48,LTUH,round,1.370,,
Drift Tube,XCE35*,3502.993,36.0,LTUH,round,1.370,,
Magnet Quad with BPM ASSY,"QE35*,BPME35*",3503.907,10.0,LTUH,round,0.870,,
Flex Coupling,,3504.161,3.34,LTUH,round,1.370,,
Drift Tube,,3504.246,21.38,LTUH,round,1.370,,
Collimator,CX35*,3504.789,8.6,LTUH,round,3.834,,
Drift Tube,,3505.007,21.38,LTUH,round,1.370,,
Flex Coupling,,3505.550,4.00,LTUH,round,1.370,,
Drift Tube(3 in a row),,3505.652,180.0,LTUH,round,1.370,,
4 Way Cross,,3510.224,4.92,LTUH,round,1.370,,
Bellows,,3510.349,6,LTUH,round,1.500,,
Drift Tube(3 in a row),,3510.501,180.0,LTUH,round,1.370,,
4 Way Cross,,3515.073,4.92,LTUH,round,1.370,,
Drift Tube,,3515.198,60.0,LTUH,round,1.370,,
4 Way Cross,,3516.722,4.92,LTUH,round,1.370,,
